YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,QMB_ONLY_BENES,QMB_PLUS_BENES,SLMB_ONLY_BENES,SLMB_PLUS_BENES,QDWI_QI_BENES,OTHR_FULL_DUAL_MDCD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,State,MD,Maryland,Total,24,"876,407","800,442","75,965","751,384","4,901","746,483","125,023","5,163","119,860","387,227","489,180","592,675","218,254","29,398","19,339",448,"16,294","1,989","26,596","96,439","231,681","185,608","129,295","95,750","66,089","31,892","11,070","123,044","77,511","45,534","753,363","25,163","69,282","12,748",60,"7,622","8,169","764,909","689,046","75,862","874,131","798,268","75,863","767,185","691,221","75,965","446,558","379,009","67,549","128,028","20,043","6,341","292,146"
2013,Year,State,MA,Massachusetts,Total,25,"1,158,001","943,576","214,426","956,689","3,859","952,830","201,312","2,709","198,604","513,023","644,978","988,508","52,049","27,165","63,362",718,"26,199","3,721","49,350","148,241","278,888","222,284","162,300","130,794","96,887","48,051","17,485","267,816","244,824","22,992","890,185","1,206","193,444","13,736","5,533","8,051","45,848","1,039,026","824,625","214,401","1,156,118","941,704","214,413","1,040,910","826,496","214,413","739,921","537,904","202,018","276,249","10,226","7,886","445,561"
2013,Year,State,MI,Michigan,Total,26,"1,805,997","1,311,409","494,588","1,465,103","8,186","1,456,917","340,894","7,738","333,156","821,542","984,454","1,504,701","219,257","19,010","30,886","5,854","26,289","5,326","73,482","262,086","438,520","358,924","256,191","193,291","135,501","62,257","20,419","278,796","238,736","40,061","1,527,200","6,438","178,389","21,133","10,002","12,490","50,345","1,704,153","1,209,655","494,498","1,804,210","1,309,708","494,502","1,705,940","1,211,356","494,584","1,321,972","1,034,605","287,367","296,286","34,624","13,646","977,416"
2013,Year,State,MN,Minnesota,Total,27,"863,414","435,527","427,887","740,917","2,653","738,264","122,497","2,339","120,159","393,968","469,446","799,857","22,267","13,463","8,604","6,555","12,669","2,131","30,457","89,909","215,159","177,583","130,389","99,673","70,346","35,269","12,498","130,803","114,147","16,657","732,611","2,381","72,965","9,314","10,845","4,961","30,337","800,674","372,810","427,865","862,487","434,621","427,866","801,601","373,717","427,885","626,212","353,284","272,928","137,051","9,065","5,067","475,029"
2013,Year,State,MS,Mississippi,Total,28,"535,139","467,303","67,836","404,908","2,903","402,005","130,232","4,273","125,959","240,899","294,240","365,820","160,596","2,026","3,004",936,"2,758","1,563","25,995","102,674","126,908","101,843","74,322","50,942","31,962","13,539","5,392","153,389","77,500","75,889","381,751","44,223","54,217","19,224",73,"12,442","23,210","505,509","437,682","67,826","534,754","466,927","67,826","505,894","438,058","67,836","368,940","306,617","62,323","157,010","14,074","5,283","192,573"
2013,Year,State,MO,Missouri,Total,29,"1,086,505","817,724","268,781","877,639","4,217","873,421","208,866","4,411","204,455","492,441","594,064","957,900","98,876","7,017","11,260","1,901","9,551","3,208","43,893","161,765","259,215","217,883","158,071","117,104","77,409","35,939","12,018","168,760","131,235","37,525","917,745","13,546","85,731","18,137","10,648","5,843","34,855","1,004,367","735,610","268,756","1,084,537","815,770","268,767","1,006,335","737,565","268,770","757,920","502,311","255,609","187,793","24,254","10,283","535,590"
2013,Year,State,MT,Montana,Total,30,"188,265","158,827","29,438","160,419",467,"159,952","27,846",485,"27,362","91,619","96,647","175,552",389,648,"2,030","7,179","2,467",398,"5,594","21,855","50,020","40,563","28,090","20,057","13,249","6,303","2,136","23,741","15,230","8,512","164,524","4,450","9,871","2,841","1,185","1,221","4,173","174,329","144,909","29,420","187,642","158,222","29,420","174,953","145,514","29,438","114,257","86,395","27,862","24,584","4,391","1,980","83,302"
2013,Year,State,NE,Nebraska,Total,31,"298,456","262,274","36,182","257,497",914,"256,582","40,959",996,"39,963","134,401","164,054","274,877","9,771","1,999","6,948","1,477","3,384",705,"9,432","30,822","72,728","59,366","46,259","36,706","25,653","12,520","4,264","39,710","35,039","4,671","258,746",291,"25,859","2,595",56,"1,785","9,124","274,861","238,682","36,180","298,108","261,929","36,180","275,209","239,028","36,182","201,248","170,233","31,015","41,686","4,436","1,998","153,129"
2013,Year,State,NV,Nevada,Total,32,"413,472","284,003","129,469","354,657","1,868","352,789","58,815","1,956","56,859","200,366","213,106","312,265","30,181","20,964","38,650","2,917","8,495",703,"11,401","46,711","118,590","96,372","63,687","40,456","23,461","9,437","2,653","44,896","23,616","21,280","368,576","11,115","18,504","6,447","1,162","3,718","3,951","368,652","239,214","129,438","411,943","282,505","129,438","370,181","240,712","129,469","260,525","134,641","125,885","50,746","11,826","3,603","194,351"
2013,Year,State,NH,"New Hampshire",Total,33,"246,613","232,342","14,270","202,218",565,"201,653","44,395",420,"43,975","113,732","132,880","236,688","1,409","1,515","2,635",130,"4,236",904,"11,545","31,946","64,082","49,661","33,954","25,786","17,589","8,331","2,815","32,091","20,768","11,322","214,522","5,844","8,915","4,052","1,560","1,426","10,294","220,194","205,924","14,269","246,422","232,152","14,269","220,385","206,115","14,270","136,010","125,329","10,681","34,199","4,168","1,930","95,713"
2013,Year,State,NJ,"New Jersey",Total,34,"1,433,447","1,203,270","230,177","1,239,782","7,852","1,231,930","193,665","6,396","187,269","625,872","807,575","1,060,010","160,515","56,564","127,781",534,"28,043","2,779","39,174","151,712","357,189","294,210","215,094","171,862","121,725","59,397","20,304","207,499","177,345","30,154","1,225,948",451,"153,473","22,258",95,"7,445","23,776","1,279,463","1,049,338","230,125","1,418,311","1,188,172","230,139","1,294,599","1,064,436","230,163","982,422","786,531","195,891","211,027","38,174","12,576","720,645"
2013,Year,State,NM,"New Mexico",Total,35,"348,256","246,405","101,851","286,298","1,481","284,817","61,958","1,742","60,216","164,630","183,627","205,459","5,693","2,677","110,777","19,827","3,824",807,"13,679","47,471","91,268","72,098","51,709","36,106","22,008","9,936","3,173","69,557","39,405","30,152","278,699","19,447","35,842","7,714",234,"2,992","3,330","313,362","211,534","101,828","343,371","241,543","101,828","318,247","216,396","101,851","231,318","133,762","97,556","71,410","7,253","2,623","150,032"
2013,Year,State,NY,"New York",Total,36,"3,213,458","2,125,283","1,088,175","2,699,653","15,595","2,684,058","513,805","12,811","500,994","1,413,802","1,799,656","2,265,435","398,167","134,164","326,988","5,090","83,615","7,157","105,982","400,667","773,081","637,620","477,050","369,202","262,518","126,945","53,237","794,229","649,457","144,772","2,419,229","44,766","395,828","43,594","12,553","56,412","241,077","2,889,214","1,801,139","1,088,076","3,189,100","2,101,003","1,088,097","2,913,572","1,825,419","1,088,153","2,345,627","1,319,709","1,025,918","811,616","51,255","19,109","1,463,646"
2013,Year,State,NC,"North Carolina",Total,37,"1,661,661","1,320,233","341,428","1,346,165","7,644","1,338,521","315,496","9,610","305,886","739,633","922,028","1,277,753","320,496","14,106","21,156","7,932","20,217","3,921","60,521","251,055","431,709","340,276","238,585","166,655","106,490","47,472","14,977","311,670","236,319","75,351","1,349,991","6,262","201,042","45,334","4,795","23,754","30,482","1,569,001","1,227,668","341,333","1,660,220","1,318,885","341,334","1,570,442","1,229,016","341,427","1,169,065","860,232","308,833","321,937","46,420","20,093","780,615"
2013,Year,State,ND,"North Dakota",Total,38,"113,615","98,123","15,492","99,546",407,"99,139","14,069",341,"13,727","52,047","61,568","107,552",314,336,566,"3,573","1,274",249,"3,270","10,550","27,209","22,076","17,925","14,614","10,566","5,112","2,045","13,886","10,861","3,025","99,729","1,362","2,745","1,157",458,507,"7,658","104,756","89,267","15,489","113,235","97,746","15,489","105,136","89,644","15,492","79,252","73,636","5,616","14,957","1,895",787,"61,613"
